employee_name,user_id,email,role,business_unit,functional_unit,department,team,supervisor,phoneNum
Macey Colleen Nash,MCN0973,Macey.Colleen.Nash@dtaa.com,ElectricalEngineer,1,Manufacturing,ManufacturingEngineering,,Ann Hannah Dickerson,13012489568
Nelle Sharon Cherry,NSC0622,Nelle.Sharon.Cherry@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Amethyst Suki Norris,13088106795
Kathleen Audrey Vargas,KAV0428,Kathleen.Audrey.Vargas@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Brenna Martha Russell,13043759026
Adrienne Joelle Mclean,AJM0772,Adrienne.Joelle.Mclean@dtaa.com,Scientist,1,ResearchAndEngineering,Research,Lab,Emmanuel Casey Wiggins,13064017037
Nicole Maris Valentine,NMV0507,Nicole.Maris.Valentine@dtaa.com,Manager,1,SalesAndMarketing,Sales,RegionalSales,Perry Reese Morton,13050287567
Cora Maggy Wise,CMW0297,Cora.Maggy.Wise@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Hanna Miranda Lindsay,13052674748
Christian James Rutledge,CJR0414,Christian.James.Rutledge@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Brenna Martha Russell,13095233588
Keefe Darius Duran,KDD0511,Keefe.Darius.Duran@dtaa.com,Scientist,1,ResearchAndEngineering,Research,Lab,Yeo Xyla Garner,13026824638
Akeem Brent Holland,ABH0821,Akeem.Brent.Holland@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Dennis Carson Mendoza,13045293061
Benjamin Alec Gutierrez,BAG0190,Benjamin.Alec.Gutierrez@dtaa.com,PurchasingClerk,1,PurchasingAndContracts,Purchasing,,Jayme Adrienne Jarvis,13026812239
Blake Chadwick Vaughan,BCV0304,Blake.Chadwick.Vaughan@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Hanna Miranda Lindsay,13075487679
Gemma Charlotte Bartlett,GCB0638,Gemma.Charlotte.Bartlett@dtaa.com,Scientist,1,ResearchAndEngineering,Research,Lab,Quon Rana Flynn,13015026202
Willa Pearl Kidd,WPK0074,Willa.Pearl.Kidd@dtaa.com,MechanicalEngineer,1,ResearchAndEngineering,Engineering,MechanicalEngineering,Benjamin Gannon Rodriquez,13017235128
Ivan Tanek Garrison,ITG0649,Ivan.Tanek.Garrison@dtaa.com,SoftwareEngineer,1,ResearchAndEngineering,SoftwareManagement,Software,Gabriel Camden Joseph,13019438597
Sharon Montana Barnett,SMB0012,Sharon.Montana.Barnett@dtaa.com,Director,1,Adminstration,Training,,Janna Aretha Woodward,13021443542
Cassady Mercedes Bentley,CMB0645,Cassady.Mercedes.Bentley@dtaa.com,Mathematician,1,ResearchAndEngineering,Research,Lab,Quon Rana Flynn,13065787116
Eagan Chase Pratt,ECP0997,Eagan.Chase.Pratt@dtaa.com,PurchasingClerk,1,PurchasingAndContracts,Purchasing,,Jayme Adrienne Jarvis,13017203908
Katelyn Cailin Solomon,KCS0524,Katelyn.Cailin.Solomon@dtaa.com,SoftwareEngineer,1,ResearchAndEngineering,SoftwareManagement,Software,Chava Ursa Dotson,13066990744
Eagan Arthur Holman,EAH0562,Eagan.Arthur.Holman@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Herrod Len Parker,13038462229
Cameron Jonathan Thomas,CJT0374,Cameron.Jonathan.Thomas@dtaa.com,SystemsEngineer,1,ResearchAndEngineering,Engineering,SystemsEngineering,Grady Calvin Morin,13081728303
Cole Thaddeus Ellison,CTE0576,Cole.Thaddeus.Ellison@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Nicole Maris Valentine,13093366153
Merrill Neil Bishop,MNB0535,Merrill.Neil.Bishop@dtaa.com,ComputerProgrammer,1,ResearchAndEngineering,SoftwareManagement,Software,Chava Ursa Dotson,13085635665
Maxwell Mason Osborne,MMO0264,Maxwell.Mason.Osborne@dtaa.com,HardwareEngineer,1,ResearchAndEngineering,Engineering,SystemsEngineering,Evan Bevis Colon,13092724475
Quemby Summer Barry,QSB0729,Quemby.Summer.Barry@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Porter Hop Livingston,13036576469
Nola Rinah Melton,NRM0617,Nola.Rinah.Melton@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Amethyst Suki Norris,13036951829
Aiko Candace Brock,ACB0077,Aiko.Candace.Brock@dtaa.com,MechanicalEngineer,1,ResearchAndEngineering,Engineering,MechanicalEngineering,Benjamin Gannon Rodriquez,13006547421
Marsden Paul Wong,MPW0904,Marsden.Paul.Wong@dtaa.com,SoftwareEngineer,1,ResearchAndEngineering,SoftwareManagement,Software,Zelenia Charlotte Lamb,13019815681
Jackson Prescott Mooney,JPM0871,Jackson.Prescott.Mooney@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Hunter Stephen Slater,13050607846
Cadman Hop Hayes,CHH0472,Cadman.Hop.Hayes@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Bo Mira Dillard,13009483409
Vivian Jenette Peters,VJP0518,Vivian.Jenette.Peters@dtaa.com,Scientist,1,ResearchAndEngineering,Research,Lab,Yeo Xyla Garner,13085443695
Melvin Isaac Nixon,MIN0513,Melvin.Isaac.Nixon@dtaa.com,Scientist,1,ResearchAndEngineering,Research,Lab,Yeo Xyla Garner,13095696952
Caleb Ezra Weber,CEW0539,Caleb.Ezra.Weber@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Herrod Len Parker,13033316913
Suki Noelle Savage,SNS0094,Suki.Noelle.Savage@dtaa.com,ComputerScientist,1,ResearchAndEngineering,Engineering,SystemsEngineering,Evan Bevis Colon,13093731738
Basia Lara Lloyd,BLL0527,Basia.Lara.Lloyd@dtaa.com,SoftwareEngineer,1,ResearchAndEngineering,SoftwareManagement,Software,Chava Ursa Dotson,13006845311
Nicholas Edward Emerson,NEE0521,Nicholas.Edward.Emerson@dtaa.com,Mathematician,1,ResearchAndEngineering,Research,Lab,Yeo Xyla Garner,13011144339
Willa Lara Marshall,WLM0450,Willa.Lara.Marshall@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Bo Mira Dillard,13058572994
Sage Hilda Woodard,SHW0774,Sage.Hilda.Woodard@dtaa.com,SoftwareEngineer,1,ResearchAndEngineering,SoftwareManagement,Software,India Karina Todd,13000519541
Amber Shannon Sawyer,ASS0611,Amber.Shannon.Sawyer@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Amethyst Suki Norris,13031378936
Madaline Alisa Bond,MAB0267,Madaline.Alisa.Bond@dtaa.com,TestEngineer,1,ResearchAndEngineering,Engineering,TestAndEvalualtion,Melissa Ruby Knight,13000378211
Roth Isaac Dyer,RID0019,Roth.Isaac.Dyer@dtaa.com,HumanResourceSpecialist,1,Adminstration,Personnel,,Benjamin Griffin Mclaughlin,13079728344
Robin Charlotte Hinton,RCH0166,Robin.Charlotte.Hinton@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Hanna Miranda Lindsay,13043697409
James Sean Winters,JSW0862,James.Sean.Winters@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Hunter Stephen Slater,13020342086
Nathan Igor Hogan,NIH0093,Nathan.Igor.Hogan@dtaa.com,HardwareEngineer,1,ResearchAndEngineering,Engineering,SystemsEngineering,Evan Bevis Colon,13086866246
Simone Amber Owens,SAO0920,Simone.Amber.Owens@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Theodore Upton Barry,13049638925
Nicholas Keane Barlow,NKB0036,Nicholas.Keane.Barlow@dtaa.com,SecurityGuard,1,Adminstration,Security,BuildingSecurity,Edward Benjamin Buck,13099634395
Maryam Althea Bird,MAB0066,Maryam.Althea.Bird@dtaa.com,ComputerScientist,1,ResearchAndEngineering,SoftwareManagement,Software,Carl Scott Hooper,13025419419
Madaline Pamela Mcknight,MPM0060,Madaline.Pamela.Mcknight@dtaa.com,SoftwareEngineer,1,ResearchAndEngineering,SoftwareManagement,Software,Carl Scott Hooper,13040832666
Tashya Adria Fowler,TAF0700,Tashya.Adria.Fowler@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Castor Chaim Combs,13004589140
Megan Brynn Snyder,MBS0355,Megan.Brynn.Snyder@dtaa.com,Physicist,1,ResearchAndEngineering,Research,Lab,Haviva Jada Molina,13031001445
Cherokee Athena Horn,CAH0554,Cherokee.Athena.Horn@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Herrod Len Parker,13072946912
Allegra Mia Pierce,AMP0662,Allegra.Mia.Pierce@dtaa.com,SoftwareEngineer,1,ResearchAndEngineering,SoftwareManagement,Software,Gabriel Camden Joseph,13016480625
Ciaran Casey Fuller,CCF0877,Ciaran.Casey.Fuller@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Hunter Stephen Slater,13095202401
Scarlett Kerry Charles,SKC0670,Scarlett.Kerry.Charles@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Abraham Perry Reyes,13086819014
Damon Hyatt Boyle,DHB0696,Damon.Hyatt.Boyle@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Castor Chaim Combs,13065478092
Shad Prescott Best,SPB0408,Shad.Prescott.Best@dtaa.com,MechanicalEngineer,1,ResearchAndEngineering,Engineering,TestAndEvalualtion,Edan Quinn Randolph,13098325631
Graham Neville Davis,GND0780,Graham.Neville.Davis@dtaa.com,ComputerProgrammer,1,ResearchAndEngineering,SoftwareManagement,Software,India Karina Todd,13004811797
Sybil Eliana Britt,SEB0150,Sybil.Eliana.Britt@dtaa.com,FinancialAnalyst,1,Finance,FinancialPlanning,,Palmer Nathaniel Church,13083427063
Joy Quon Justice,JQJ0479,Joy.Quon.Justice@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,William Vernon Booth,13034626774
Vaughan Xerxes Anderson,VXA0673,Vaughan.Xerxes.Anderson@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Abraham Perry Reyes,13061659180
Erich Addison Le,EAL0240,Erich.Addison.Le@dtaa.com,MechanicalEngineer,1,ResearchAndEngineering,Engineering,MechanicalEngineering,Benjamin Gannon Rodriquez,13066845521
Mariam Roary Jacobs,MRJ0321,Mariam.Roary.Jacobs@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Gisela Kelsie Yates,13088874316
Hakeem Walter Bond,HWB0420,Hakeem.Walter.Bond@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Brenna Martha Russell,13095313815
Carson Quinn Peters,CQP0232,Carson.Quinn.Peters@dtaa.com,MechanicalEngineer,1,ResearchAndEngineering,Engineering,MechanicalEngineering,Benjamin Gannon Rodriquez,13052565510
Ria Alice Rivas,RAR0927,Ria.Alice.Rivas@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Theodore Upton Barry,13077101653
Aidan Hilel Morton,AHM0091,Aidan.Hilel.Morton@dtaa.com,ElectricalEngineer,1,ResearchAndEngineering,Engineering,SystemsEngineering,Evan Bevis Colon,13039321344
Holmes Troy Burnett,HTB0658,Holmes.Troy.Burnett@dtaa.com,SoftwareEngineer,1,ResearchAndEngineering,SoftwareManagement,Software,Gabriel Camden Joseph,13063330876
